Date,Nombre de doses livrées
2021-01-24,16350
2021-01-25,16350
2021-01-26,16350
2021-01-27,17325
2021-01-28,17325
2021-01-29,17325
2021-01-30,17325
2021-01-31,17325
2021-02-01,17325
2021-02-02,17325
2021-02-03,19275
2021-02-04,19275
2021-02-05,19275
2021-02-06,19275
2021-02-07,27275
2021-02-08,27275
2021-02-09,27275
2021-02-10,27275
2021-02-11,27275
2021-02-12,27275
2021-02-13,27275
2021-02-14,27275
2021-02-15,27275
2021-02-16,27275
2021-02-17,30200
2021-02-18,30200
2021-02-19,30200
2021-02-20,30200
2021-02-21,30200
2021-02-22,30200
2021-02-23,30200
2021-02-24,33125
2021-02-25,33125
2021-02-26,33125
2021-02-27,33125
2021-02-28,39425
2021-03-01,39425
2021-03-02,39425
2021-03-03,44300
2021-03-04,44300
2021-03-05,44300
2021-03-06,44300
2021-03-07,44300
2021-03-08,44300
2021-03-09,44300
2021-03-10,46250
2021-03-11,46250
2021-03-12,46250
2021-03-13,46250
2021-03-14,46250
2021-03-15,46250
2021-03-16,46250
2021-03-17,47225
2021-03-18,47225
2021-03-19,47225
2021-03-20,47225
2021-03-21,47225
2021-03-22,47225
2021-03-23,47225
2021-03-24,59125
2021-03-25,59125
2021-03-26,59125
2021-03-27,59125
2021-03-28,61075
2021-03-29,61075
2021-03-30,61075
2021-03-31,61075
2021-04-01,74350
2021-04-02,74350
2021-04-03,74350
2021-04-04,74350
2021-04-05,74350
2021-04-06,74350
2021-04-07,79225
2021-04-08,79225
2021-04-09,79225
2021-04-10,79225
2021-04-11,79225
2021-04-12,79225
2021-04-13,79225
2021-04-14,85075
2021-04-15,85075
2021-04-16,85075
2021-04-17,85075
2021-04-18,85075
2021-04-19,85075
2021-04-20,85075
2021-04-21,89950
2021-04-22,89950
2021-04-23,89950
2021-04-24,89950
2021-04-25,100650
2021-04-26,100650
2021-04-27,100650
2021-04-28,107475
2021-04-29,107475
2021-04-30,107475
2021-05-01,107475
2021-05-02,107475
2021-05-03,107475
2021-05-04,107475
2021-05-05,130375
