Date,Total cas
2021-01-18,24759
2021-01-19,24849
2021-01-20,24941
2021-01-21,25011
2021-01-22,25092
2021-01-23,25158
2021-01-24,25208
2021-01-25,25264
2021-01-26,25362
2021-01-27,25463
2021-01-28,25538
2021-01-29,25621
2021-01-30,25669
2021-01-31,25735
2021-02-01,25813
2021-02-02,25902
2021-02-03,26004
2021-02-04,26090
2021-02-05,26166
2021-02-06,26233
2021-02-07,26279
2021-02-08,26330
2021-02-09,26399
2021-02-10,26455
2021-02-11,26499
2021-02-12,26555
2021-02-13,26592
2021-02-14,26618
2021-02-15,26649
2021-02-16,26683
2021-02-17,26736
2021-02-18,26777
2021-02-19,26815
2021-02-20,26851
2021-02-21,26875
2021-02-22,26921
2021-02-23,26993
2021-02-24,27049
2021-02-25,27099
2021-02-26,27150
2021-02-27,27196
2021-02-28,27231
2021-03-01,27262
2021-03-02,27335
2021-03-03,27390
2021-03-04,27452
2021-03-05,27507
2021-03-06,27560
2021-03-07,27593
2021-03-08,27636
2021-03-09,27689
2021-03-10,27756
2021-03-11,27806
2021-03-12,27862
2021-03-13,27904
2021-03-14,27935
2021-03-15,27989
2021-03-16,28053
2021-03-17,28143
2021-03-18,28206
2021-03-19,28266
2021-03-20,28320
2021-03-21,28357
2021-03-22,28415
