Canton,Incidence
CH,5.0
AG,4.1
AI,0.0
AR,3.6
BE,5.2
BL,6.6
BS,3.1
FR,2.8
GE,3.8
GL,7.4
GR,2.5
JU,4.1
LU,6.0
NE,7.4
NW,2.3
OW,0.0
SG,9.2
SH,3.6
SO,7.3
SZ,3.7
TG,4.3
TI,5.4
UR,5.4
VD,4.8
VS,3.8
ZG,5.5
ZH,5.2
